,a,c,e,g,i,k,l,m,n,o,p,q
268,金钱陷阱 The Money Pit,理查德·本杰明,David Giler,汤姆·汉克斯,谢莉·朗,亚历山大·乔杜诺夫,"['喜剧', '音乐']",91 分钟,1986,美国, 英语,7.4
269,浮生若舞 The Company,罗伯特·奥特曼,Barbara Turner,内芙·坎贝尔,马尔科姆·麦克道威尔,詹姆斯·弗兰科,"['剧情', '爱情', '音乐']",Canada: 112 分钟(Toronto International Film Festival),2003,美国 / 德国, 英语,7.4
270,庆典 Jubilee,德里克·贾曼,德里克·贾曼,珍妮·鲁纳奎,尼尔·坎贝尔,托亚·威尔考克斯,"['剧情', '音乐']",100 分钟,1978,英国, 英语,7.4
271,乡下姑娘 The Country Girl,乔治·希顿,Clifford Odets,平·克劳斯贝,格蕾丝·凯利,威廉·霍尔登,"['剧情', '音乐']",104分钟,1954,美国, 英语,7.4
272,帕蒂蛋糕$ Patti Cake$,杰里米·贾斯珀,杰里米·贾斯珀,凯西·莫拉蒂,麦考尔·隆巴蒂,丹尼尔·斯图尔特·谢尔曼,"['剧情', '音乐']",109分钟,2017,美国, 英语,7.4
273,手铐情人 Tonight You're Mine,大卫·马肯兹,托马斯·莱弗里特,卢克·崔德威,娜塔丽·特纳,瑞贝卡·本森,"['喜剧', '音乐']",77分钟,2011,英国, 英语,7.4
274,天使的肌肤 Peau d'ange,文森特·佩雷斯,热罗姆·托内尔,Morgane Moré,吉约姆·德帕迪约,Karine Silla,"['剧情', '爱情', '音乐']",85 分钟,2002,法国, 法语,7.4
275,狂野人生 Das wilde Leben,阿希姆·博尔哈克,Dagmar Benke,娜塔莉·爱娃隆,马提亚斯·施维赫夫,David Scheller,"['剧情', '喜剧', '音乐', '传记']",114分钟,2007,德国, 德语 / 英语 / 意大利语,7.4
276,风中新娘 Bride of the Wind,布鲁斯·贝尔斯福德,Marilyn Levy,莎拉·温特,乔纳森·普雷斯,文森特·佩雷斯,"['剧情', '爱情', '音乐', '传记']",99分钟,2001,英国 / 德国 / 奥地利, 英语,7.4
277,不速之客 The Harder They Come,Perry Henzell,Perry Henzell,吉米·克里夫,Janet Bartley,Carl Bradshaw,"['剧情', '音乐', '犯罪']",USA: 120 分钟,1972,牙买加, 英语,7.4
278,爱的五种方式 The Five Senses,杰里米 伯德斯华 (Jeremy Podeswa),杰里米 伯德斯华 (Jeremy Podeswa),Molly Parker,Mary-Louise Parker,类型:,"['剧情', '喜剧', '音乐']",Argentina: 106 分钟,1999,加拿大, 法语 / 英语 / 意大利语,7.4
279,闪光少女,王冉,鲍鲸鲸,徐璐,彭昱畅,刘泳希,"['喜剧', '音乐']",103分钟,2017,中国大陆, 汉语普通话,7.3
280,舞出我人生2：街舞 Step Up 2: The Streets,朱浩伟,托妮安约翰森,布莱恩娜·伊维根,罗伯特·霍夫曼,亚当·G·瑟瓦尼,"['剧情', '爱情', '音乐']",98 分钟,2008,美国, 英语 / 俄语,7.3
281,音为爱 SuckSeed ห่วยขั้นเทพ,查亚诺普·布恩帕拉科布,查亚诺普·布恩帕拉科布,吉拉育·拉翁马尼,帕查拉·奇拉锡瓦特,娜塔莎·劳佳姆,"['喜剧', '爱情', '音乐']",130分钟,2011,泰国, 泰语,7.3
282,修女也疯狂2 Sister Act 2: Back in the Habit,比尔·杜克,Joseph Howard,乌比·戈德堡,凯茜·纳基麦,巴纳德·休斯,"['喜剧', '音乐']",107 分钟,1993,美国, 英语,7.3
283,热舞甜心 Honey,比勒·沃道夫,Alonzo Brown,杰西卡·阿尔芭,Romeo,梅奇·费法,"['剧情', '爱情', '音乐']",94 分钟,2003,美国, 英语,7.3
284,绷带 BANDAGE バンデイジ,小林武史,岩井俊二,赤西仁,北乃绮,高良健吾,"['剧情', '爱情', '音乐']",Japan: 119 分钟,2010,日本, 日语,7.3
285,列宁格勒牛仔搭摩西 Leningrad Cowboys Meet Moses,阿基·考里斯马基,Sakke Järvenpää,Twist-Twist Erkinharju,Ben Granfelt,Sakke Järvenpää,"['喜剧', '音乐', '冒险']",94分钟,1994,芬兰 / 德国 / 法国, 英语,7.2
286,浑身是劲 Footloose,赫伯特·罗斯,迪安·皮奇福德,凯文·贝肯,洛里·辛格,约翰·利思戈,"['剧情', '爱情', '音乐']",107 分钟,1984,美国, 英语,7.2
287,哭泣的玫瑰 Selena,格雷戈里·内瓦,格雷戈里·内瓦,詹妮弗·洛佩兹,爱德华·詹姆斯·奥莫斯,乔恩·塞达,"['剧情', '音乐', '传记']",127 分钟,1997,美国, 英语 / 西班牙语,7.2
288,酣歌畅戏 Topsy-Turvy,迈克·李,迈克·李,吉姆·布劳德本特,阿兰·柯德勒,蒂莫西·斯波,"['剧情', '喜剧', '音乐', '歌舞', '传记']",160 分钟,1999,英国, 英语 / 法语 / 德语 / 日语 / 意大利语,7.2
289,宛如幻像 Comme une image,阿涅丝·夏薇依,Jean-Pierre Bacri,阿涅丝·夏薇依,让-皮埃尔·巴克里,类型:,"['剧情', '喜剧', '爱情', '音乐']",110 分钟,2004,法国 / 意大利, 法语 / 意大利语,7.2
290,歌剧红伶 Diva,让-雅克·贝奈克斯,Daniel Odier,罗兰·伯汀,理查德·波林热,弗雷德里克·安德雷,"['剧情', '动作', '爱情', '悬疑', '惊悚', '音乐']",117分钟(法国),1981,法国, 法语 / 英语,7.2
291,我爱英格 Mannen som elsket Yngve,Stian Kristiansen,Tore Renberg,Rolf Kristian Larsen,Arthur Berning,Ida Elise Broch,"['剧情', '喜剧', '音乐']",90 分钟,2008,挪威, 挪威语,7.2
292,别碰斧子 Ne touchez pas la hache,雅克·里维特,帕斯卡尔·博尼策尔,让娜·巴利巴尔,吉约姆·德帕迪约,布鲁·欧吉尔,"['剧情', '爱情', '音乐']",137 分钟,2007,法国 / 意大利, 法语 / 西班牙语,7.2
293,帕西法尔 Perceval le Gallois,埃里克·侯麦,埃里克·侯麦,法布莱斯·鲁奇尼,安德烈·杜索里埃,Solange Boulanger,"['剧情', '爱情', '音乐', '战争']",140 分钟,1978,法国 / 意大利 / 西德, 法语,7.2
294,千年之恋之源氏物语 千年の恋 ひかる源氏物語,崛川顿幸 (Tonko Horikawa),早坂暁,天海祐希,常盘贵子,吉永小百合,"['剧情', '爱情', '音乐', '传记', '历史']",143 分钟,2001,日本, 日语,7.1
295,超乎想象 I Can Only Imagine,安德鲁·欧文,乔恩·欧文,J·迈克尔·芬利,布洛迪·罗斯,丹尼斯·奎德,"['剧情', '音乐']",110分钟,2018,美国, 英语,7.1
296,愈坏愈要爱 F. est un salaud,马塞尔·吉斯莱,Martin Frank,Frédéric Andrau,Vincent Branchet,Urs Peter Halter,"['剧情', '爱情', '同性', '音乐']",91 分钟,1998,法国 / 瑞士, 法语,7.1
297,激乐人心 Get on Up,泰特·泰勒,杰斯·巴特沃斯,查德维克·博斯曼,尼尔森·埃利斯,丹·艾克罗伊德,"['剧情', '音乐', '传记']",138分钟,2014,美国, 英语,7.1
298,最后的迪斯科 The Last Days of Disco,惠特·斯蒂尔曼,惠特·斯蒂尔曼,科洛·塞维尼,凯特·贝金赛尔,克里斯·埃吉曼,"['剧情', '喜剧', '爱情', '音乐']",113 分钟,1998,美国, 英语,7.1
299,迷幻演出 Performance,尼古拉斯·罗伊格,唐纳德·卡梅尔,詹姆斯·福克斯,米克·贾格尔,安妮塔·帕里博格,"['剧情', '音乐', '犯罪', '奇幻']",105 分钟,1970,英国, 英语,7.1
300,极盗车神 Baby Driver,埃德加·赖特,埃德加·赖特,安塞尔·艾尔高特,凯文·史派西,杰米·福克斯,"['动作', '音乐', '犯罪']",113分钟,2017,英国 / 美国, 英语 / 美国手语,7.0
301,逃亡乐队 The Runaways,弗洛莉娅·塞吉斯蒙迪,弗洛莉娅·塞吉斯蒙迪,克里斯汀·斯图尔特,达科塔·范宁,迈克尔·珊农,"['剧情', '音乐', '传记']",106 分钟,2010,美国, 英语,7.0
302,独奏者 The Soloist,乔·赖特,苏珊娜·格兰特,杰米·福克斯,小罗伯特·唐尼,瑞秋·哈里斯,"['剧情', '音乐', '传记']",117 分钟,2009,英国 / 美国 / 法国, 英语,7.0
303,最后的日子 Last Days,格斯·范·桑特,格斯·范·桑特,迈克尔·皮特,卢卡斯·哈斯,艾莎·阿基多,"['剧情', '音乐', '传记']",97 分钟,2005,美国, 英语,7.0
304,摇滚之神 Tenacious D in The Pick of Destiny,里亚姆·林奇,杰克·布莱克,杰克·布莱克,凯尔·加斯,本·斯蒂勒,"['喜剧', '音乐', '冒险']",93 分钟,2006,美国 / 德国, 英语,6.8
305,岁月无声,周旭,马德林,范植伟,马思纯,蒙亭宜,"['剧情', '爱情', '音乐']",93分钟,2012,中国大陆 / 香港, 汉语普通话,6.8
306,郎在对门唱山歌,章明,章明,杰珂,吕星辰,冯国庆,"['剧情', '音乐']",103分钟,2011,中国大陆, 汉语普通话,6.8
307,我的英格兰 England Is Mine,马克·吉尔,马克·吉尔,杰克·劳登,杰西卡·布朗·芬德利,朱迪·科默,"['剧情', '音乐', '传记']",94分钟,2017,英国, 英语,6.8
308,1999年中央电视台春节联欢晚会,黄海涛,赵忠祥,赵忠祥,倪萍,周涛,"['音乐', '歌舞']",225分钟,1999,中国大陆, 汉语普通话,6.8
309,万视瞩目 All Eyez on Me,班尼·博姆,杰里米·哈夫特,德米特里厄斯·西普,丹娜·奎里拉,卡特琳娜·格兰厄姆,"['剧情', '音乐', '传记']",140分钟,2017,美国, 英语,6.8
310,滚石风云 Stoned,Stephen Woolley,里奥·格雷高里,里奥·格雷高里,本·卫肖,帕迪·康斯戴恩,"['剧情', '音乐', '传记']",102 分钟,2005,英国, 英语,6.8
311,加布里埃尔 Gabrielle,路易斯·阿桑宝特,路易斯·阿桑宝特,Gabrielle Marion-Rivard,梅丽莎·德索蒙斯-波林,亚历山大·朗德利,"['剧情', '爱情', '音乐']",104分钟,2013,加拿大, 法语,6.8
312,爱情无限谱 Nick and Norah's Infinite Playlist,彼得·苏列特,劳伦·斯卡法莉娅,迈克尔·塞拉,凯特·戴琳斯,艾伦·余,"['剧情', '喜剧', '爱情', '音乐']",Canada: 90 分钟(Toronto International Film Festival),2008,美国, 英语,6.7
313,派对搭讪秘诀 How to Talk to Girls at Parties,约翰·卡梅隆·米切尔,菲里帕·格斯莱特,妮可·基德曼,露丝·威尔森,艾丽·范宁,"['喜剧', '爱情', '科幻', '音乐']",102分钟,2017,英国 / 美国, 英语,6.7
314,鼠来宝3 Alvin and the Chipmunks: Chip-Wrecked,迈克·米切尔,乔纳森·阿贝尔,贾斯汀·朗,杰西·麦卡尼,马修·格雷·古柏勒,"['喜剧', '动画', '音乐', '家庭', '奇幻']",87分钟,2011,美国, 英语,6.7
315,哀乐女子天团,桑木天,郭昱德,杨小兰,刘頔,尹菲,"['剧情', '音乐']",86分钟,2017,中国大陆, 汉语普通话,6.7
316,纪念 Souvenir,巴沃·德弗恩,巴沃·德弗恩,伊莎贝尔·于佩尔,凯文·阿札伊斯,约翰·雷森,"['剧情', '爱情', '音乐']",90分钟,2016,比利时 / 卢森堡 / 法国, 法语,6.7
317,"赤裸朱丽叶 Juliet, Naked",杰西·派瑞兹,吉姆·泰勒,萝丝·拜恩,伊桑·霍克,克里斯·奥多德,"['剧情', '喜剧', '爱情', '音乐']",97分钟,2018,美国, 英语,6.7
318,母牛总动员 Home on the Range,John Sanford,John Sanford,G.W.拜利,罗西妮·巴尔,史蒂夫·布西密,"['动画', '音乐', '家庭', '西部']",76 分钟,2004,美国, 英语,6.7
319,留住最后一支舞2 Save the Last Dance 2,David Petrarca,Duane Adler,伊莎贝拉·米珂,哥伦布·绍特,杰奎琳·比塞特,"['剧情', '爱情', '音乐']",90 分钟,2006,美国, 英语,6.7
320,我仍在这里 I'm Still Here: The Lost Year of Joaquin Phoenix,卡西·阿弗莱克,卡西·阿弗莱克,杰昆·菲尼克斯,类型:,喜剧,"['喜剧', '音乐']",106分钟,2010,美国, 英语,6.7
321,灵魂梦飞翔 Soul Plane,Jessy Terrero,Bo Zenga,凯文·哈特,马索·曼恩,汤姆·阿诺德,"['喜剧', '音乐']",86 分钟,2004,美国, 英语 / 西班牙语,6.7
322,亿万唱诗班 The Fighting Temptations,乔纳森 林恩 (Jonathan Lynn),Elizabeth Hunter,小库珀·古丁,碧昂丝·诺尔斯,类型:,"['剧情', '喜剧', '爱情', '音乐']",123 分钟,2003,美国, 英语,6.7
323,激情意外 I Want You,迈克尔·温特伯顿,Eoin McNamee,蕾切尔·薇兹,亚历桑德罗·尼沃拉,Luka Petrusic,"['剧情', '爱情', '音乐', '犯罪']",87 分钟,1998,英国, 英语,6.4
324,沉月 月に沈む,行定勲 (Yukisada Isao),行定勋,滨崎步,伊势谷友介,香川照之,"['剧情', '爱情', '音乐', '奇幻']",40分钟,2002,日本, 日语,6.4
325,周末狂欢 Weekender,Karl Golden,克里斯·乔奇,杰克·奥康奈尔,Zawe Ashton,艾米丽·巴克雷,"['剧情', '喜剧', '惊悚', '音乐']",90分钟,2011,英国, 英语,6.4
326,飞越美人谷 Beyond the Valley of the Dolls,罗斯·梅尔,罗杰·伊伯特,Dolly Read,辛西娅·迈尔斯,玛西亚·麦克布朗,"['喜剧', '音乐']",109 分钟,1970,美国, 英语,6.4
327,舞出我人生5 Step Up: All In,翠西·西埃,约翰·斯韦特纳姆,瑞安·古兹曼,布莱恩娜·伊维根,亚当·G·瑟瓦尼,"['剧情', '爱情', '音乐']",112分钟,2014,美国, 英语,6.3
328,我想吃掉你 Je te mangerais,Sophie Laloy,Jean-Luc Gaget,Judith Davis,伊希尔·勒·贝斯柯,约翰·利贝罗,"['剧情', '同性', '音乐']",96 分钟,2009,法国, 法语,6.3
329,安妮：纽约奇缘 Annie,威尔·古勒,威尔·古勒,杰米·福克斯,奎文赞妮·瓦利斯,萝丝·拜恩,"['剧情', '喜剧', '音乐', '家庭']",118分钟,2014,美国, 英语,6.3
330,瑞奇和闪电 Ricki and the Flash,乔纳森·戴米,迪亚波罗·科蒂,梅丽尔·斯特里普,凯文·克莱恩,麦米·古默,"['剧情', '喜剧', '音乐']",101分钟,2015,美国, 英语,6.3
331,我看到了光 I Saw the Light,马克·亚伯拉罕,马克·亚伯拉罕,汤姆·希德勒斯顿,伊丽莎白·奥尔森,切莉·琼斯,"['剧情', '音乐', '传记']",123分钟,2015,美国, 英语,6.3
332,亲爱的克拉拉 Geliebte Clara,贺玛·桑德斯-勃拉姆斯,Nicole-Lise Bernheim,马蒂娜·格德克,马立克·兹迪,帕斯卡尔·格雷戈里,"['剧情', '音乐', '传记']",Germany: 107 分钟,2008,德国 / 法国 / 匈牙利, 德语,6.3
333,2000年中央电视台春节联欢晚会,张晓海,朱军,朱军,周涛,倪萍,"['音乐', '歌舞']",270分钟,2000,中国大陆, 汉语普通话,6.3
334,黑人奥菲尔 Orfeu Negro,马赛尔·加谬,Jacques Viot,布雷诺·梅洛,马尔佩萨·唐,马赛尔·加谬,"['剧情', '喜剧', '爱情', '音乐']",100 分钟,1959,巴西 / 法国 / 意大利, 葡萄牙语,6.3
335,续写哈姆雷特 Hamlet 2,安德鲁·弗莱明,Pam Brady,史蒂夫·库根,娜塔莉·阿门努拉,梅罗妮·迪亚兹,"['喜剧', '音乐']",92 分钟,2008,美国, 英语 / 西班牙语,6.3
336,东镇女巫 The Witches of Eastwick,乔治·米勒,迈克尔·克里斯托弗,杰克·尼科尔森,雪儿,苏珊·萨兰登,"['喜剧', '惊悚', '恐怖', '音乐', '奇幻']",118 分钟,1987,美国, 英语,6.3
337,甜心辣舞 2 Honey 2,Bille Woodruff,Alyson Fouse,卡特琳娜·格兰厄姆 Katerina Graham,赛切儿·加布埃尔 Seychelle Gabriel,类型:,"['剧情', '喜剧', '音乐']",110分钟,2011,美国, 英语,6.2
338,穿越乡间路 Crossroads,坦姆拉 戴维斯 (Tamra Davis),珊达·莱梅斯,Britney Spears,Zoe Saldana,Taryn Manning,"['剧情', '喜剧', '爱情', '音乐', '冒险']",93 分钟,2002,美国, 英语,6.2
339,性福大师 The Guru,戴斯·冯·施勒·梅耶,Tracey Jackson,Jimi Mistry,海瑟·格拉汉姆,玛丽莎·托梅,"['喜剧', '爱情', '音乐', '奇幻']",94 分钟,2002,法国 / 英国 / 美国, 北印度语 / 英语,6.2
340,梦幻强尼 Johnny Suede,汤姆·迪西罗,汤姆·迪西罗,布拉德·皮特,凯瑟琳·基纳,塞缪尔·杰克逊,"['喜剧', '爱情', '音乐']",Spain: 95 分钟,1991,法国 / 美国 / 瑞士, 英语,6.2
341,忧愁围绕着我 Low Down,Jeff Preiss,Amy Albany,彼特·丁拉基,艾丽·范宁,琳娜·海蒂,"['剧情', '音乐', '传记']",114分钟,2014,美国, 英语,6.2
342,光之声 Vox Lux,布拉迪·科贝特,布拉迪·科贝特,娜塔莉·波特曼,裘德·洛,拉菲·卡西迪,"['剧情', '音乐']",114分钟,2018,美国, 英语,5.7
343,2012年中央电视台春节联欢晚会,哈文,朱军,朱军,李咏,董卿,"['音乐', '歌舞']",265分钟,2012,中国大陆, 汉语普通话,5.7
344,1995穿越时间 2538 อัลเทอร์มาจีบ,Yanyong Kuruaungkoul,平采娜·乐维瑟派布恩,平采娜·乐维瑟派布恩,Dan Aaron Ramnarong,Achita Pramoj Na Ayudhya,"['喜剧', '爱情', '音乐']",112分钟,2015,泰国, 泰语,5.7
345,夺命钢琴 Grand Piano,尤金尼奥·米拉,达米恩·查泽雷,伊莱贾·伍德,约翰·库萨克,凯瑞·碧许,"['悬疑', '惊悚', '音乐']",90分钟,2013,西班牙 / 美国, 英语,5.7
346,寻找刘三姐,朱枫,未水,苏有朋,黄圣依,魏宗万,"['剧情', '喜剧', '爱情', '音乐', '歌舞']",87分钟,2009,中国大陆, 汉语普通话 / 英语,5.7
347,歌声不绝 Song to Song,泰伦斯·马力克,泰伦斯·马力克,瑞恩·高斯林,鲁妮·玛拉,迈克尔·法斯宾德,"['剧情', '音乐']",129分钟,2017,美国, 英语,5.6
348,萌犬好声音 Pup Star,罗伯特·文斯,克尔斯滕·汉森,麦肯泽·摩斯,凯特林·马希尔,杰德·瑞斯,"['喜剧', '音乐', '冒险']",92分钟,2016,加拿大, 英语,5.6
349,日日摇滚 日々ロック,入江悠,入江悠,野村周平,二阶堂富美,前野朋哉,"['剧情', '音乐']",110分钟,2014,日本, 日语,5.6
350,2014年中央电视台春节联欢晚会,冯小刚,张国立,张国立,朱军,董卿,"['音乐', '歌舞']",258分钟,2014,中国大陆, 汉语普通话,5.5
351,奥兹国的桃乐西 Legends of Oz: Dorothy's Return,威尔·芬,兰迪·巴恩斯,丹·艾克罗伊德,詹姆斯·贝鲁什,凯尔希·格兰莫,"['动画', '音乐', '歌舞', '家庭']",88分钟,2013,美国, 英语,5.5
352,听见下雨的声音 聽見下雨的聲音,方文山,方文山,柯有伦,韩雨洁,徐若瑄,"['爱情', '音乐']",119分钟,2013,台湾 / 中国大陆, 汉语普通话,5.4
353,盛糖乐队,林小莉,贾舒颖,夏花 Hua Xia,浦蒲,李勤勤,"['剧情', '喜剧', '音乐']",100分钟,2011,中国大陆, 汉语普通话,5.4
354,追风战警 No Good Deed,鲍勃·拉菲尔森,Christopher Cannan,塞缪尔·杰克逊,米拉·乔沃维奇,道格·休切逊,"['剧情', '惊悚', '音乐', '犯罪']",Italy: 103 分钟,2002,德国 / 美国, 英语,5.4
355,春&夏事件簿 ハルチカ,市井昌秀,市井昌秀,佐藤胜利,桥本环奈,恒松祐里,"['剧情', '爱情', '音乐']",118分钟,2017,日本, 日语,5.3
356,果,路云飞,路云飞,魏静茹,李媛,应朋,"['剧情', '音乐']",93分钟,2008,中国大陆, 汉语普通话,5.3
357,Minimum-Maximum,Kraftwerk,Ralf Hütter,Ralf Hütter,Florian Schneider,Fritz Hilpert,['音乐'],126 分钟,2005,德国, 德语 / 英语 / 法语 / 日语 / 俄语 / 意大利语,9.6