拽妹黛薇儿要上大学了没 Daria: Is it College Yet?,,Karen Disher,,Glenn Eichler,,Geoffrey Arend ...  Charles 'Upchuck' Ruttheimer III (voice),,Tracy Grandstaff ...  Daria Morgendorffer (voice),,Rand Bridges ...  Professor Bill Woods (voice) (as H.R. Bridges),"['剧情', '喜剧', '动画']",90分钟,2002,USA, english,9.4
黑暗扫描仪 A Scanner Darkly,,理查德·林克莱特,,理查德·林克莱特,,基努·里维斯,,小罗伯特·唐尼,,Casey Chapman,"['剧情', '科幻', '动画', '悬疑', '惊悚', '犯罪']",100 分钟,2006,美国, 英语,7.2
变焦 Zoom,,佩德罗·莫雷利 ,,马特·汉森,,盖尔·加西亚·贝纳尔,,艾丽森·皮尔,,玛里亚娜·希梅内斯,"['剧情', '喜剧', '动画']",96分钟,2015,巴西 / 加拿大, 葡萄牙语 / 英语,7.2
超人与蝙蝠侠：公众之敌 Superman/Batman: Public Enemies,,Sam Liu,,Stan Berkowitz,,Kevin Conroy,,类型:,,剧情,"['剧情', '动作', '动画']",67分钟,2009,美国, 英语,7.2
仙履奇缘3： 时间魔法 Cinderella III: A Twist in Time,,Frank Nissen,,Margaret Heidenry,,詹妮弗·黑尔,,Christopher Daniel Barnes,,露西·泰勒,"['爱情', '动画', '家庭', '奇幻']",74分钟,2007,美国, 英语,7.2
安娜斯塔西娅 Anastasia,,唐·布鲁斯,,Susan Gauthier,,梅格·瑞恩,,约翰·库萨克,,凯尔希·格兰莫,"['剧情', '动画', '歌舞', '家庭', '冒险']",94 分钟,1997,美国, 英语 / 俄语 / 法语,7.2
美丽密语 마리이야기,,李成康,,Mi-ae Seo,,柳德焕,,安圣基,,孔炯轸,"['剧情', '动画', '奇幻']",79分钟,2002,韩国, 韩语,7.2
复活 Renaissance,,克里斯蒂安·福克曼,,Mathieu Delaporte,,丹尼尔·克雷格,,萝玛拉·嘉瑞,,伊安·霍姆,"['动作', '科幻', '动画', '惊悚']",105 分钟,2006,法国 / 英国 / 卢森堡, 英语,7.2
全明星超人 All-Star Superman,,Sam Liu,,Dwayne McDuffie,,克里斯蒂娜·亨德里克斯,,Linda Cardellini,,Matthew Gray Gubler,['动画'],75分钟,2011,美国, 英语,7.2
芭比之仙子的秘密 Barbie: A Fairy Secret,,William Lau,,Elise Allen,,Diana Kaarina,,Adrian Petriw,,Brittney Irvin,"['动画', '家庭', '奇幻']",72分钟(美国),2011,美国, 英语,7.2
青葱岁月 소중한 날의 꿈,,安在勋,,宋惠真,,宋昌义,,吴涟序,,朴信惠,"['剧情', '动画', '家庭']",98分钟,2010,韩国, 韩语,7.2
外星人狙击战 ムタフカズ,,西见祥示郎,,巴尔吉特·拉伊,,克里斯·贾伊·阿历克斯,,安东尼奥·阿尔瓦雷斯,,迪诺·安德拉德,"['动作', '科幻', '动画']",90分钟,2017,法国 / 日本, 法语,7.2
神秘的女蝙蝠侠 Batman: Mystery of the Batwoman,,Curt Geda,,Alan Burnett,,凯文·康瑞,,塔拉·斯特朗,,凯拉·塞吉维克,"['动作', '动画', '悬疑', '冒险']",Argentina: 74 分钟,2003,美国, 英语,7.2
愤怒的小鸟 Angry Birds,,费格尔·雷利,,约翰·维蒂,,杰森·苏戴奇斯,,乔什·加德,,丹尼·麦克布莱德,"['喜剧', '动画', '冒险']",97分钟,2016,芬兰 / 美国, 英语,7.1
香肠派对 Sausage Party,,康拉德·弗农,,塞斯·罗根,,塞斯·罗根,,克里斯汀·韦格,,詹姆斯·弗兰科,"['喜剧', '动画', '冒险']",89分钟,2016,美国, 英语,7.1
鬼作秀3 Creepshow 3,,Ana Clavell,,Ana Clavell,,AJ·鲍恩,,Kris Allen,,Stephanie Pettee,"['动画', '恐怖', '奇幻']",104分钟,2006,美国, 英语,6.8
冰冻星球 Titan A.E.,,Art Vitello,,Ben Edlund,,马特·达蒙,,比尔·普尔曼,,约翰·雷吉扎莫,"['科幻', '动画', '家庭', '冒险']",94 分钟,2000,美国, 英语,6.8
高地人：复仇之旅 Highlander: The Search for Vengeance,,川尻善昭,,David Abramowitz,,Alistair Abell,,Dave B. Mitchell,,Hank Banks,"['动作', '科幻', '动画', '奇幻']",97分钟,2007,美国, 英语,6.8
马可波罗回香都 Marco Polo: Return to Xanadu,,Ron Merk,,Chris Holter,,Paul Ainsley,,Alan Altshuld,,Nicholas Gonzalez,"['动画', '传记', '冒险']",82分钟,2001,美国 / 斯洛伐克 / 中国大陆, 英语,6.8
美由里之森 ミヨリの森,,山本二三,,奥寺佐渡子,,苍井优,,斋藤千和,,市原悦子,['动画'],107分钟,2007,日本, 日语,6.8
蝙蝠侠大战德古拉 The Batman vs Dracula: The Animated Movie,,Michael Goguen,,Duane Capizzi,,Rino Romano,,凯文·迈克尔·理查德森,,汤姆·肯尼,"['动作', '动画', '惊悚', '恐怖']",83分钟,2005,美国, 英语,6.8
太阳公主 La reine soleil,,Philippe Leclerc,,Philippe Allard,,Philippe Allard,,Catherine Conet,,Alexandra Corréa,['动画'],74分钟,2007,比利时 / 法国 / 匈牙利, 法语,6.8
幽灵男孩 Phantom Boy,,让-卢普·费利乔利,,阿兰·嘎诺尔,,埃德瓦·贝耶,,让-皮埃尔·马里埃尔,,奥黛丽·塔图,"['动画', '犯罪', '奇幻']",84分钟,2015,法国 / 比利时, 法语,6.8
大鱼海棠,,梁旋,,梁旋,,季冠霖,,苏尚卿,,许魏洲,"['剧情', '动画', '奇幻']",105分钟,2016,中国大陆, 汉语普通话,6.7
精灵旅社3：疯狂假期 Hotel Transylvania 3: Summer Vacation,,格恩迪·塔塔科夫斯基,,迈克尔·麦库勒斯,,亚当·桑德勒,,凯瑟琳·哈恩,,史蒂夫·布西密,"['喜剧', '动画', '奇幻']",98分钟,2018,美国, 英语,6.7
四眼天鸡 Chicken Little,,马克·汀戴尔,,Steve Bencich,,扎克·布拉夫,,盖瑞·马歇尔,,史蒂夫·茨恩,"['喜剧', '科幻', '动画', '家庭', '冒险']",81 分钟,2005,美国, 英语,6.7
熊出没·原始时代,,丁亮,,徐芸,,张伟,,张秉君,,谭笑,"['喜剧', '动画', '冒险']",88分钟,2019,中国大陆, 汉语普通话,6.7
浪漫鼠德佩罗 The Tale of Despereaux,,山姆·菲尔,,Will McRobb,,马修·布罗德里克,,达斯汀·霍夫曼,,艾玛·沃森,"['剧情', '动画', '冒险']",93分钟,2008,英国 / 美国, 英语,6.7
鼠来宝3 Alvin and the Chipmunks: Chip-Wrecked,,迈克·米切尔,,乔纳森·阿贝尔,,贾斯汀·朗,,杰西·麦卡尼,,马修·格雷·古柏勒,"['喜剧', '动画', '音乐', '家庭', '奇幻']",87分钟,2011,美国, 英语,6.7
星河战队：入侵 Starship Troopers: Invasion,,荒牧伸志,,罗伯特·A·海因莱因,,Leraldo Anzaldua,,Luci Christian,,Melissa Davis,"['动作', '科幻', '动画']",89分钟,2012,美国 / 日本, 英语,6.7
丛林大反攻2 Open Season 2,,Matthew O'Callaghan,,David I. Stern,,乔尔·麦克哈尔,,迈克·艾普斯,,简·科拉克斯基,"['喜剧', '动画', '家庭', '冒险']",76 分钟,2008,美国, 英语,6.7
铁拳：血之复仇 鉄拳　ブラッド・ベンジェンス,,毛利阳一,,佐藤大,,坂本真绫,,松冈由贵,,宫野真守,['动画'],100分钟,2011,日本, 日语,6.7
死亡空间：坍塌 Dead Space: Downfall,,Chuck Patton,,Kelly Hu,,Kelly Hu,,Bruce Boxleitner,,Kevin Michael Richardson,"['科幻', '动画', '恐怖']",74 分钟,2008,美国, 英语,6.7
飞机总动员2：火线救援 Planes: Fire and Rescue,,罗伯茨·甘纳韦,,杰弗里·M·霍华德,,朱丽·鲍温,,戴恩·库克,,艾德·哈里斯,"['喜剧', '动作', '动画']",83分钟,2014,美国, 英语,6.7
熊出没之熊心归来,,丁亮,,徐芸,,张伟,,张秉君,,谭笑,"['喜剧', '动画', '冒险']",99分钟,2016,中国大陆, 汉语普通话,6.3
无敌原始人 Early Man,,尼克·帕克,,马克·伯顿,,汤姆·希德勒斯顿,,埃迪·雷德梅恩,,麦茜·威廉姆斯,"['喜剧', '动画', '冒险']",89分钟,2018,英国 / 法国 / 美国, 英语,6.3
乐高幻影忍者大电影 The Lego Ninjago Movie,,查理·宾,,鲍勃·洛根,,成龙,,戴夫·弗兰科,,弗莱德·阿米森,"['喜剧', '动作', '动画', '冒险']",101分钟,2017,美国 / 丹麦, 英语,6.3
我的爸爸是森林之王 The Son of Bigfoot,,本·斯塔森,,鲍勃·巴伦,,帕皮·福克纳,,克里斯托弗·L·帕森,,玛莉芙·赫林顿,"['喜剧', '动画', '冒险']",91分钟,2017,法国 / 比利时, 法语 / 英语,6.3
呆呆精灵 Hui Buh,,塞巴斯蒂安·尼曼,,德克·阿内尔,,米夏埃尔·赫尔比希,,克里斯托夫·玛丽亚·赫布斯特,,海克·玛卡琪,"['喜剧', '动画', '恐怖', '奇幻', '冒险']",Germany: 103 分钟,2006,德国, 德语,6.3
超人：解放 Superman: Unbound,,詹姆斯·塔克,,乔夫·琼斯,,马特·波莫,,斯坦娜·卡蒂克,,莫莉·奎恩,"['科幻', '动画', '冒险']",75分钟,2013,美国, 英语,6.3
追逐时间 타이밍,,闵京朝,,姜草,,严相贤,,沈圭赫,,朴志胤,"['剧情', '动画', '悬疑']",99分钟,2014,韩国 / 日本, 韩语,6.3
猫姑娘 Gatta Cenerentola,,亿万·卡布里诺,,亿万·卡布里诺,,马西米利亚诺·加洛,,玛丽娅·皮娅·卡尔佐尼,,亚历山德罗·加斯曼,"['动画', '惊悚', '犯罪']",86分钟,2017,意大利, 意大利语,6.3
终极复仇者 Ultimate Avengers,,Curt Geda,,Greg Johnson,,Justin Gross,,Olivia d'Abo,,Marc Worden,"['动作', '科幻', '动画', '冒险']",72 分钟,2006,美国, 西班牙语 / 英语,6.3
奇异博士 Doctor Strange,,Jay Oliva,,Chris Edgerly,,Chris Edgerly,,Susan Spano,,类型:,"['动画', '奇幻']",76 分钟,2007,美国, 英语,6.3
怀特霍尔街上的长筒靴 Jackboots on Whitehall,,爱德华·麦克亨利,,Rory McHenry,,伊万·麦克格雷格,,裴淳华,,理查德·E·格兰特,"['喜剧', '动画', '战争']",91分钟,2010,英国, 英语,6.3
消失的天猫座 El lince perdido,,Raul Garcia,,Abraham Aguilar ... Gus (voice),,Abraham Aguilar ... Gus (voice),,Beatriz Berciano ... Lincesa (voice),,Carlos del Pino ... Rupert (voice),"['喜剧', '动画', '家庭']",Germany: 97 分钟(European Film Market),2008,西班牙, 英语,6.3
果宝特攻之水果大逃亡,,王巍,,赖虹宇,,赖虹宇,,祖晴,,鞠月斌,"['喜剧', '动画', '冒险']",97分钟,2016,中国大陆, 汉语普通话,6.3
地狱男爵动画版：风暴之剑 Hellboy Animated: Sword of Storms,,Phil Weinstein,,迈克·米格诺拉,,Ron Perlman,,Selma Blair,,Doug Jones,"['剧情', '动作', '科幻', '动画', '战争', '冒险']",77分钟,2006,美国, 英语,6.3
春田花花同学会 春田花花同學會,,赵良骏,,谢立文,,周笔畅,,陈慧琳,,郑中基,"['喜剧', '动画', '奇幻']",95 分钟,2006,香港, 粤语,6.2
地海传说 ゲド戦記,,宫崎吾朗,,宫崎吾朗,,冈田准一,,手嶌葵,,田中裕子,"['动画', '奇幻', '冒险']",115 分钟,2006,日本, 日语,6.2
麦兜·饭宝奇兵,,谢立文,,谢立文,,金刚,,大汪,,张正中,"['喜剧', '动画', '冒险']",84分钟,2016,中国大陆 / 香港, 汉语普通话 / 粤语,6.2
猫与桃花源,,王微,,王微,,李宇峰,,杨砚铎,,周华健,"['动画', '家庭', '冒险']",105分钟,2018,中国大陆, 汉语普通话,6.2
瑜伽熊 Yogi Bear,,埃里克·布雷维格,,约书亚·斯特宁,,安娜·法瑞丝,,丹·艾克罗伊德,,贾斯汀·汀布莱克,"['喜剧', '动画', '家庭', '冒险']",80分钟,2010,美国 / 新西兰, 英语,6.2
喜羊羊与灰太狼之开心闯龙年,,简耀宗,,王舒,,周笔畅,,阿牛,,欧弟,"['喜剧', '动画', '儿童', '冒险']",85分钟,2012,中国大陆, 汉语普通话 / 粤语,5.5
黑猫警长电影版,,戴铁郎,,戴铁郎,,吴磊,,李扬,,大山,"['剧情', '动画']",78分钟,2010,中国大陆, 汉语普通话,5.5
长江7号：超萌特攻队,,简耀宗,,覃伟业,,徐娇,,石班瑜,,林簌,"['喜剧', '动画', '家庭']",80分钟,2015,中国大陆 / 香港, 汉语普通话 / 粤语,5.5
神秘世界历险记4,,王云飞,,王云飞,,阎么么,,赵一博,,张磊,['动画'],85分钟,2018,中国大陆, 汉语普通话,5.5
兔子镇的火狐狸,,葛水英,,关云匀,,乔诗语,,喻舟,,张遥函,"['动画', '奇幻', '冒险']",90分钟,2015,中国大陆, 汉语普通话,5.5
奥兹国的桃乐西 Legends of Oz: Dorothy's Return,,威尔·芬,,兰迪·巴恩斯,,丹·艾克罗伊德,,詹姆斯·贝鲁什,,凯尔希·格兰莫,"['动画', '音乐', '歌舞', '家庭']",88分钟,2013,美国, 英语,5.5
蝙蝠侠大战双面人 Batman Vs. Two-Face,,里克·莫拉莱斯,,迈克尔·杰勒尼克,,波特·瓦德,,亚当·威斯特,,威廉·夏特纳,['动画'],72分钟,2017,美国, 英语,5.5
喜羊羊与灰太狼之喜气羊羊过蛇年,,简耀宗,,石建娜,,祖晴,,梁颖,,张琳,"['喜剧', '动画', '家庭', '冒险']",86分钟,2013,中国大陆, 汉语普通话,5.4
三小强,,傅燕,,柯德涛,,韩波,,刘沛,,泽飞,"['喜剧', '动画']",80分钟,2014,中国大陆, 汉语普通话,5.4
聪明的一休之反斗公主,,雷建成,,濮澍,,王晓燕,,罗玉娟,,李正翔,"['动画', '悬疑']",81分钟,2014,中国大陆 / 日本, 汉语普通话,5.4
王子与108煞 108 Rois-Démons,,帕斯卡·莫莱利,,帕斯卡·莫莱利,,吕西安·让-巴蒂斯特,,伯特兰·纳德勒,,让·伊夫·沙特莱,"['喜剧', '动作', '动画', '冒险']",84分钟(中国大陆),2015,法国 / 比利时 / 卢森堡 / 中国大陆, 法语,5.4
考拉大冒险 코알라 키드: 영웅의 탄생,,李景浩,,斯科特·克莱文杰,,查理·比尤利,,利尔·托娃·布林克夫,,艾伦·卡明,"['动画', '家庭', '冒险']",85分钟,2012,韩国 / 美国, 英语 / 韩语,5.4
丛林大反攻4：吓傻了 Open Season: Scared Silly,,劳伦斯·洛克 Lawrence Roeck,,Will Townsend,,Will Townsend,,Melissa Sturm,,Trevor Devall,"['喜剧', '动画']",84分钟,2015,美国, 英语,5.4
一万年以后,,易立,,易立,,珠玛,,亚拉亚姆,,易立,"['动作', '动画', '奇幻']",93分钟,2015,中国大陆, 汉语普通话,5.3
大闹西游,,马系海,,张琛,,孙晔,,沈达威,,陶典,"['喜剧', '动画', '冒险']",92分钟,2018,中国大陆, 汉语普通话,5.3
表情奇幻冒险 The Emoji Movie,,安东尼·莱昂迪斯,,安东尼·莱昂迪斯,,T·J·米勒,,詹姆斯·柯登,,安娜·法瑞丝,"['喜剧', '动画', '冒险']",86分钟,2017,美国, 英语,5.2
重返大海,,陆强,,姚晓明,,孟非,,李俊宇,,林颖,"['动画', '家庭', '冒险']",97分钟,2012,中国大陆 / 美国 / 加拿大, 英语 / 汉语普通话,5.2
飞翔的梦 Motýlí cas,,布雷梯斯拉夫·波杰,,布雷梯斯拉夫·波杰,,Ludek Navratil,,Katerina Machácková,,Jaromír Hanzlík,"['动画', '家庭', '奇幻']",84 分钟,1990,捷克斯洛伐克 / 加拿大, 捷克语,9.1
寻梦环游记 Coco,,李·昂克里奇,,阿德里安·莫利纳,,安东尼·冈萨雷斯,,盖尔·加西亚·贝纳尔,,本杰明·布拉特,"['喜剧', '动画', '音乐', '奇幻']",105分钟,2017,美国, 英语 / 西班牙语,9.0
哈尔的移动城堡 ハウルの動く城,,宫崎骏,,宫崎骏,,倍赏千惠子,,木村拓哉,,美轮明宏,"['动画', '奇幻', '冒险']",119分钟,2004,日本, 日语,9.0
狮子王 The Lion King,,罗杰·阿勒斯,,艾琳·梅琪,,乔纳森·泰勒·托马斯,,马修·布罗德里克,,杰瑞米·艾恩斯,"['剧情', '动画', '歌舞', '家庭', '冒险']",89 分钟,1994,美国, 英语 / 斯瓦希里语 / 科萨语 / 祖鲁语,9.0
欢乐树的朋友们：第一滴血 Happy Tree Friends: Volume 1: First Blood,,Rhode Montijo,,沃伦·格拉夫,,Peter Herrmann,,Liz Stewart,,Aubrey Ankrum,"['喜剧', '动画']",USA: 110 分钟,2002,美国 / 英国, 英语,9.0
金猴降妖,,特伟,,特伟,,李扬,,谈鹏飞,,洪融,"['剧情', '动画', '奇幻']",150分钟,1985,中国大陆, 汉语普通话,9.0
熊猫的故事 シュンマオ物語 タオタオ,,岛村达雄,,山田洋次,,丁健华,,刘广宁,,童自荣,['动画'],88分钟,1981,日本 / 中国大陆, 日语,9.0
辛普森一家：家庭治疗 The Simpsons: Family Therapy,,马特·格罗宁,,马特·格罗宁,,南茜·卡特莱特,,丹·卡斯泰兰尼塔,,朱莉·卡夫娜,"['喜剧', '动画']",3分钟,1989,美国, 英语,9.0
飞屋环游记 Up,,彼特·道格特,,保伯·彼得森,,爱德华·阿斯纳,,克里斯托弗·普卢默,,乔丹·长井,"['剧情', '喜剧', '动画', '冒险']",96分钟,2009,美国, 英语,8.9
玛丽和马克思 Mary and Max,,亚当·艾略特,,亚当·艾略特,,托妮·科莱特,,菲利普·塞默·霍夫曼,,巴瑞·哈姆弗莱斯,"['剧情', '喜剧', '动画']",92分钟,2009,澳大利亚, 英语 / 意第绪语,8.9
红辣椒 パプリカ,,今敏,,水上清资,,林原惠美,,江守彻,,堀胜之祐,"['科幻', '动画', '悬疑', '惊悚']",90 分钟,2006,日本, 日语,8.9
未麻的部屋 Perfect Blue,,今敏,,村井贞之,,岩男润子,,松本梨香,,辻亲八,"['动画', '惊悚', '奇幻']",81 分钟,1997,日本, 日语,8.9
哪吒闹海,,严定宪,,王树忱,,梁正晖,,邱岳峰,,毕克,"['动画', '奇幻', '冒险']",65分钟,1979,中国大陆, 汉语普通话,8.9
攻壳机动队 攻殻機動隊,,押井守,,伊藤和典,,田中敦子,,大塚明夫,,山寺宏一,"['动作', '科幻', '动画']",83分钟,1995,日本, 日语,8.9
东京教父 東京ゴッドファーザーズ,,今敏,,今敏,,江守彻,,梅垣义明,,冈本绫,"['剧情', '喜剧', '动画']",92分钟,2003,日本, 日语,8.9
心理游戏 マインド・ゲーム,,汤浅政明,,汤浅政明,,今田耕司,,藤井隆,,山口智充,"['喜剧', '动画', '悬疑', '冒险']",103 分钟,2004,日本, 日语,8.9
幻想曲 Fantasia,,詹姆斯·阿尔格,,Lee Blair,,华特·迪士尼,,列奥波德·斯托科夫斯基,,Deems Taylor,"['动画', '音乐', '奇幻']",125分钟,1940,美国, 英语,8.9
国王与小鸟 Le roi et l'oiseau,,保罗·格里莫尔,,雅克·普雷维尔,,让·马丹,,帕斯卡尔·马佐蒂,,雷蒙·比西埃尔,"['动画', '奇幻']",83分钟,1980,法国, 法语,8.6
皱纹 Arrugas,,伊格纳希奥·法雷拉斯,,Ángel de la Cruz,,Tacho González,,Álvaro Guevara,,玛贝尔·里维拉,"['剧情', '动画']",89分钟,2011,西班牙, 西班牙语,8.6
落叶 Dead Leaves,,今石洋之,,本田武市,,山口胜平,,本田贵子,,水谷优子,"['喜剧', '动作', '科幻', '动画', '冒险']",USA: 55 分钟(original version),2004,日本, 日语,8.6
飞出个未来大电影1：班德大行动 Futurama: Bender's Big Score,,Dwayne Carey-Hill,,马特·格罗宁,,比利·维斯特,,凯特蕾·萨加尔,,约翰·迪·玛吉欧,"['喜剧', '爱情', '动画']",88 分钟,2007,美国, 英语,8.6
铁扇公主,,万籁鸣,,王乾白,,白虹,,严月玲,,姜明,"['剧情', '动画', '奇幻']",72分钟(中国),1941,中国大陆, 汉语普通话,8.6
吹笛子的男人 Krysar,,吉利·巴塔,,Kamil Pixa,,奥德里奇•凯瑟,,伊里·拉布斯,,Michal Pavlícek,"['动画', '恐怖', '奇幻']",53分钟,1986,捷克斯洛伐克 / 西德, 捷克语,8.6
小熊维尼:寻找克里斯多夫罗宾 Pooh's Grand Adventure: The Search for Christopher Robin,,Karl Geurs,,A·A·米尔恩,,Jim Cummings,,John Fiedler,,Ken Sansom,"['动画', '冒险']",76 分钟,1997,美国, 英语,8.6
麻辣女孩：时间危机 Kim Possible: A Sitch in Time,,Steve Loter,,Bill Motz,,克里斯蒂·卡尔森·罗曼诺,,威尔·弗里德尔,,南茜·卡特莱特,"['动画', '儿童']",66分钟,2003,美国, 英语,8.6
神偷奶爸 Despicable Me,,皮埃尔·柯芬,,肯·道里欧,,史蒂夫·卡瑞尔,,杰森·席格尔,,拉塞尔·布兰德,"['喜剧', '动画', '冒险']",95分钟,2010,美国 / 法国, 英语,8.5
冰川时代 Ice Age,,卡洛斯·沙尔丹哈,,迈克尔·伯格 ,,雷·罗马诺,,约翰·雷吉扎莫,,丹尼斯·利瑞,"['喜剧', '动画', '冒险']",81 分钟,2002,美国, 英语 / 克罗地亚语,8.5
至爱梵高·星空之谜 Loving Vincent,,多洛塔·科别拉,,多洛塔·科别拉,,道格拉斯·布斯,,罗伯特·古拉奇克,,埃莉诺·汤姆林森,"['剧情', '动画', '传记']",95分钟,2017,英国 / 波兰, 英语,8.5
麦兜故事 麥兜故事,,袁建滔,,谢立文,,李晋纬,,林海峰,,吴君如,"['剧情', '喜剧', '动画']",Japan: 75 分钟,2001,香港, 粤语,8.5
了不起的狐狸爸爸 Fantastic Mr. Fox,,韦斯·安德森,,韦斯·安德森,,乔治·克鲁尼,,梅丽尔·斯特里普,,詹森·舒瓦兹曼,"['喜剧', '动画', '冒险']",87分钟,2009,美国, 英语,8.5
南方公园 South Park: Bigger Longer & Uncut,,崔·帕克,,崔·帕克,,崔·帕克,,马特·斯通,,玛丽·凯·伯格曼,"['喜剧', '动画', '歌舞']",81 分钟,1999,美国, 英语,8.5
海绵宝宝历险记 The SpongeBob SquarePants Movie,,史蒂芬·海伦伯格,,史蒂芬·海伦伯格,,汤姆·肯尼,,克兰西·布朗,,罗德格尔·邦帕斯,"['喜剧', '动画', '冒险']",87分钟,2004,美国, 英语,8.5
正义联盟：闪点悖论 Justice League: The Flashpoint Paradox,,杰伊·欧力瓦,,詹姆斯·克里格,,贾斯汀·钱伯斯,,C·托马斯·豪威尔,,迈克尔·B·乔丹,"['动作', '科幻', '动画', '奇幻', '冒险']",75分钟,2013,美国, 英语,8.5
爱丽丝梦游仙境 Alice in Wonderland,,克莱德·杰洛尼米,,路易斯·卡罗尔,,凯瑟琳·博蒙特,,埃德·温,,理查德·海顿,"['动画', '歌舞', '奇幻', '冒险']",75 分钟,1951,美国, 英语,8.5
最终幻想7：圣子降临 ファイナルファンタジーVII アドベントチルドレン,,野村哲也,,野岛一成,,樱井孝宏,,伊藤步,,森久保祥太郎,"['动作', '科幻', '动画', '惊悚']",101 分钟,2005,日本, 日语 / 英语,8.2
给桃子的信 ももへの手紙,,冲浦启之,,冲浦启之,,美山加恋,,优香,,坂口芳贞,"['剧情', '动画']",120分钟,2011,日本, 日语,8.2
