拽妹黛薇儿要上大学了没 Daria: Is it College Yet?,,Karen Disher,,Glenn Eichler,,Geoffrey Arend ...  Charles 'Upchuck' Ruttheimer III (voice),,Tracy Grandstaff ...  Daria Morgendorffer (voice),,Rand Bridges ...  Professor Bill Woods (voice) (as H.R. Bridges),"['剧情', '喜剧', '动画']",90分钟,2002,USA, english,9.4
黑子的篮球·终极一战 劇場版 黒子のバスケ LAST GAME,,多田俊介,,高木登,,小野贤章,,小野友树,,神谷浩史,"['动画', '运动']",91分钟,2017,日本, 日语,6.5
但丁的地狱之旅 Dante's Inferno: An Animated Epic,,Victor Cook,,但丁,,Graham McTavish,,瓦妮莎·布兰奇,,史蒂夫·布卢姆,"['动作', '动画', '奇幻']",88分钟,2010,日本 / 美国 / 韩国 / 新加坡, 日语 / 英语,6.5
蝙蝠侠之子 Son of Batman,,Ethan Spaulding,,格兰特·莫里森,,斯图尔特·艾伦,,杰森·奥玛拉,,莫蕾娜·巴卡琳,"['动作', '动画', '冒险']",74分钟,2014,美国, 英语,6.5
丛林大反攻3 Open Season 3,,Cody Cameron,,David I. Stern,,Matthew J. Munn,,Nika Futterman,,Matthew W. Taylor,['动画'],74分钟,2010,美国, 英语,6.5
秘鲁大冒险 Las aventuras de Tadeo Jones,,安立奎·高德,,贝洛妮卡·费尔南德斯,,凯瑞·莎勒,,菲奥娜·格拉斯科特,,亚当·詹姆斯,"['动画', '冒险']",92分钟,2012,西班牙, 英语 / 西班牙语,6.5
与恐龙同行 Walking with Dinosaurs 3D,,巴里·库克,,约翰·科里,,查理·罗,,卡尔·厄本,,安格瑞·赖斯,"['动画', '冒险']",87分钟,2013,英国 / 美国 / 澳大利亚, 英语,6.5
死亡空间：余波 Dead Space: Aftermath,,Mike Disa,,Mike Disa,,Christopher Judge,,类型:,,科幻,"['科幻', '动画', '恐怖']",94分钟,2011,美国, 英语,6.5
蝙蝠侠与哈莉·奎恩 Batman and Harley Quinn,,刘山姆,,布鲁斯·提姆,,凯文·康瑞,,梅丽莎·劳奇,,帕姬·布鲁斯特,"['喜剧', '动作', '动画', '冒险']",74分钟,2017,美国, 英语,6.5
钢铁侠与美国队长：英雄集结 Iron Man & Captain America: Heroes United,,Leo Riley,,布兰登·奥曼,,亚德里安·帕斯达,,罗杰·克莱格·史密斯,,弗雷德·塔特西奥,"['动作', '科幻', '动画']",71分钟,2014,美国, 英语,6.5
魔神Z 劇場版 マジンガーZ / INFINITY,,志水淳儿,,永井豪,,森久保祥太郎,,茅野爱衣,,上坂堇,"['科幻', '动画', '灾难']",94分钟(中国大陆),2018,日本, 日语,6.5
猫和老鼠：罗宾汉和他的机灵鼠 Tom and Jerry: Robin Hood and His Merry Mouse,,史派克·布兰特,,Michael Ryan,,吉米·巴姆博,,查尔斯·肖内西,,约翰·迈克尔·辛吉斯,"['喜剧', '动画', '家庭']",58分钟,2012,美国, 英语,6.5
猥琐传说：大电影 Dick Figures: The Movie,,Zack Keller,,Zack Keller,,Ed Skudder,,Zack Keller,,Shea Logsdon,['动画'],73分钟,2013,美国, 英语,6.5
黑之栖 CHRONUS 黒の栖-クロノス-,,恩田尚之,,木ノ花咲,,花江夏树,,小野大辅,,大地叶,"['剧情', '动画']",25分钟,2014,日本, 日语,6.5
十万个冷笑话,,卢恒宇,,卢恒宇,,阿杰,,皇贞季,,宝木中阳,"['喜剧', '动画', '奇幻']",100分钟,2014,中国大陆, 汉语普通话,6.4
喜羊羊与灰太狼之牛气冲天,,赵崇邦,,黄伟健,,阿牛,,林峯,,徐子珊,"['喜剧', '动画', '儿童']",90分钟,2009,中国大陆, 汉语普通话,6.4
丛林有情狼 Alpha and Omega,,本·格鲁克,,Chris Denk,,海顿·潘妮蒂尔,,克里斯蒂娜·里奇,,贾斯汀·朗,"['喜剧', '动画', '家庭', '冒险']",88分钟,2010,美国 / 印度, 英语,6.4
老夫子2001,,邱礼涛,,徐克,,谢霆锋,,张柏芝,,黎耀祥,"['喜剧', '动作', '动画']",104 分钟,2001,香港, 粤语,5.8
驯龙骑士 Justin y la Espada del Valor,,曼努埃尔·西西里阿,,马修·雅各布斯,,安东尼奥·班德拉斯,,詹姆斯·卡沙莫,,迈克尔·卡尔金,"['动画', '冒险']",90分钟,2013,西班牙, 英语,5.8
未来机器城,,安恪温,,郝雨,,韩莹棣,,郑海音,,冯远征,"['科幻', '动画', '冒险']",90分钟,2018,中国大陆 / 加拿大, 英语 / 汉语普通话,5.8
年兽大作战,,张扬,,邢爱娜,,雷佳音,,周冬雨,,陈赫,"['喜剧', '动画', '奇幻']",97分钟,2016,中国大陆, 汉语普通话,5.8
丛林之王 Tarzan,,莱因哈德·克洛斯,,莱因哈德·克洛斯,,凯南·鲁兹,,罗伯特·卡普荣,,史宾塞·洛克,"['动作', '动画', '冒险']",95分钟(中国大陆),2013,德国, 英语,5.8
加菲猫的狂欢节 Garfield's Fun Fest,,Mark A.Z. Dippé,,Frank Welker,,Frank Welker,,Tim Conway,,Gregg Berger,['动画'],79 分钟,2008,美国 / 韩国, 英语,5.8
多细胞少女 다세포소녀,,李在容,,李在容,,金玉彬,,朴真宇,,李民友,"['喜剧', '动画']",111分钟,2006,韩国, 韩语,5.8
摩尔庄园冰世纪,,刘可欣,,刘可欣,,张凯,,陈倩,,毛毛头,"['动画', '儿童', '奇幻']",95分钟,2011,中国大陆, 汉语普通话,5.8
猫和老鼠：间谍使命 Tom and Jerry: Spy Quest,,史派克·布兰特,,希思·科森,,Reese Hartwig,,Arnie Pantoja,,吴汉章,['动画'],72分钟,2015,美国, 英语,5.8
豆福传,,邹燚,,司文,,陈佩斯,,李立群,,季冠霖,['动画'],85分钟,2017,中国大陆, 汉语普通话,5.7
鲁滨逊漂流记 Robinson Crusoe,,文森特·凯斯特鲁特,,李·克里斯托弗,,马提亚斯·施维赫夫,,卡亚·叶娜尔,,伊尔卡·贝桑,"['喜剧', '动画', '冒险']",91分钟,2016,比利时 / 法国, 英语 / 法语 / 德语,5.7
大耳朵图图之美食狂想曲,,速达,,潘延,,潘延,,范楚绒,,胡谦,"['喜剧', '动画', '冒险']",91分钟,2017,中国大陆, 汉语普通话,5.7
斑马总动员 Khumba,,安东尼·希尔瓦斯顿,,拉菲艾拉·德尔·多恩,,杰克·T·奥斯汀,,史蒂夫·布西密,,洛雷塔·迪瓦恩,"['动画', '家庭', '冒险']",86分钟,2013,南非, 英语,5.7
新灰姑娘 Cinderella 3D,,林恩·萨瑟兰,,Alice Blehart,,Kirsten Day,,Stephanie Sanditz,,类型:,"['动画', '奇幻', '冒险']",87分钟,2018,美国 / 中国大陆, 英语,4.2
潜艇总动员3：彩虹宝藏,,何子力,,何子力,,范楚绒,,洪海天,,谢元真,"['动画', '儿童']",80分钟,2013,中国大陆, 汉语普通话,4.2
小猪佩奇过大年,,张大鹏,,郝铭,,朱亚文,,刘芸,,归亚蕾,"['动画', '歌舞', '家庭', '儿童']",81分钟,2019,中国大陆 / 英国, 汉语普通话 / 英语,4.0
赛尔号大电影5：雷神崛起,,王章俊,,王章俊,,罗玉婷,,翟巍,,王晓彤,"['剧情', '动画', '儿童', '冒险']",90分钟,2015,中国大陆, 汉语普通话,4.0
猪猪侠之终极决战,,陆锦明,,古志斌,,陆双,,陈志荣,,祖晴,"['喜剧', '动画', '冒险']",90分钟,2015,中国大陆, 汉语普通话,4.0
潜艇总动员4：章鱼奇遇记,,何子力,,何子力,,蒋可,,王晓彤,,李晔,"['喜剧', '动画', '冒险']",80分钟,2014,中国大陆, 汉语普通话,3.9
爵迹,,郭敬明,,郭敬明,,范冰冰,,吴亦凡,,陈学冬,"['动画', '奇幻']",121分钟,2016,中国大陆, 汉语普通话,3.8
潜艇总动员：海底两万里,,申宇,,辛迪·麦凯,,范楚绒,,洪海天,,李晔,"['动画', '奇幻', '冒险']",75分钟,2018,中国大陆, 汉语普通话,3.8
我是哪吒,,舒展,,李珏,,陶典,,韩娇娇,,刘垚,"['剧情', '动画']",83分钟,2016,中国大陆, 汉语普通话,3.8
猪猪侠之勇闯巨人岛,,古志斌,,王晓莉,,陆双,,祖晴,,陈志荣,"['喜剧', '动画', '冒险']",88分钟,2014,中国大陆, 汉语普通话,3.7
铠甲勇士捕王,,郑国伟,,郑国伟,,赖艺,,王畅唱,,曲澔濬,"['动作', '动画', '奇幻', '冒险']",86分钟,2016,中国大陆, 汉语普通话,3.6
神兽金刚之青龙再现,,朱晓兵,,蔡岳生,,黄健,,李仲鑫,,谢安晟,"['动画', '奇幻', '冒险']",87分钟,2016,中国大陆, 汉语普通话,3.6
新年来啦之大闹除夕,,于明亮,,刘江妹,,赵舒婷,,付洁,,易小寅,"['动画', '奇幻', '冒险']",80分钟,2015,中国大陆, 汉语普通话,3.5
赛尔号大电影之寻找凤凰神兽,,刘虹,,黄伟建,,张杰,,武艺,,曾轶可,"['动画', '奇幻', '冒险']",90分钟,2011,中国大陆, 汉语普通话,3.4
熊猫总动员,,Greg Manwaring,,Greg Manwaring,,何炅,,谢娜,,李维嘉,"['动画', '家庭', '儿童']",86分钟,2011,中国大陆 / 德国 / 法国 / 西班牙 / 比利时, 汉语普通话,3.4
青蛙总动员,,杨仁贤,,袁雪,,吉静,,郭政建,,白涛,"['喜剧', '动画', '冒险']",74分钟,2016,中国大陆 / 台湾, 汉语普通话,3.4
白雪公主之矮人力量,,邱浩强,,陈晴,,刘小翠,,李旭乔,,类型:,"['喜剧', '动画', '奇幻', '冒险']",84分钟,2014,中国大陆, 汉语普通话 / 英语,3.3
我爱灰太狼,,朱枫,,黄伟健,,赵娜,,梁颖,,祖晴,"['喜剧', '动画', '冒险']",91分钟,2012,中国大陆, 汉语普通话,3.3
火焰山历险记,,肖淮海,,尹恒,,古月艺,,寇来,,宏勃,"['动画', '奇幻', '冒险']",84分钟,2013,中国大陆, 汉语普通话,3.3
萤火虫之墓 火垂るの墓,,高畑勋,,高畑勋,,辰己努,,白石绫乃,,志乃原良子,"['剧情', '动画', '战争']",89 分钟,1988,日本, 日语,8.7
我在伊朗长大 Persepolis,,文森特·帕兰德,,玛嘉·莎塔琵,,齐雅拉·马斯楚安尼,,达尼埃尔·达里约,,凯瑟琳·德纳芙,"['剧情', '动画', '传记']",96分钟,2007,法国 / 美国, 法语 / 英语 / 德语 / 波斯语,8.7
疯狂约会美丽都 Les triplettes de Belleville,,希尔万·肖默,,希尔万·肖默,,Béatrice Bonifassi,,莉娜·布德罗,,Michèle Caucheteux,"['喜剧', '动画']",Argentina: 80 分钟(Buenos Aires Festival Internacional de Cine Independiente),2003,法国 / 比利时 / 加拿大 / 英国 / 拉脱维亚, 法语 / 葡萄牙语,8.7
魔术师 L'illusionniste,,希尔万·肖默,,希尔万·肖默,,Jean-Claude Donda,,Eilidh Rankin,,Jil Aigrot,"['剧情', '动画']",80分钟,2010,法国 / 英国, 英语 / 法语 / 盖尔语,8.7
河童之夏 河童のクゥと夏休み,,原惠一,,原惠一,,富泽风斗,,横川贵大,,田中直树,"['喜剧', '动画', '奇幻']",138分钟,2007,日本, 日语,8.7
我的邻居山田君 ホーホケキョとなりの山田くん,,高畑勋,,高畑勋,,朝丘雪路,,益冈徹,,荒木雅子,"['喜剧', '动画', '家庭']",104 分钟,1999,日本, 日语,8.7
伦敦一家人 Ethel & Ernest,,罗杰·梅因伍德,,罗杰·梅因伍德,,卢克·崔德威,,吉姆·布劳德本特,,布兰达·布莱斯,"['剧情', '动画', '家庭']",94分钟,2016,英国, 英语,8.7
男孩与世界 O Menino e o Mundo,,阿莱·阿布鲁,,阿莱·阿布鲁,,阿莱·阿布鲁,,马尔科·奥雷利奥·坎波斯,,维尼修斯·加西亚,"['剧情', '动画']",80分钟,2013,巴西, 无对白,8.7
原始星球 La planète sauvage,,阿内·拉鲁,,斯蒂凡·乌尔,,Jennifer Drake,,Eric Baugin,,让·托帕尔,"['科幻', '动画']",72 分钟,1973,法国 / 捷克斯洛伐克, 法语,8.7
冬之蝉 冬の蝉,,伊藤真朱,,新田佑克(漫画作者),,森川智之,,三木真一郎,,森久保祥太郎,"['剧情', '动画', '同性']",102分钟（ova合成版）,2007,日本, 日语,8.7
天才嘉年华 ジーニアス・パーティ,,福岛敦子,,菊地凛子,,菊地凛子,,柳乐优弥,,金田朋子,['动画'],Japan: 85 分钟(video),2007,日本, 日语,8.7
她的回忆 彼女の想いで,,森本晃司,,今敏,,山寺宏一,,类型:,,科幻,"['科幻', '动画', '冒险']",44分钟,1995,日本, 日语,8.7
指环王 The Lord of the Rings,,拉尔夫·巴克希,,Chris Conkling,,Christopher Guard,,威廉·斯夸尔,,Michael Scholes,"['剧情', '动画', '奇幻', '冒险']",132 分钟,1978,美国, 英语 / Sindarin,8.7
悲伤的贝拉多娜 哀しみのベラドンナ,,山本映一,,福田善之,,长山蓝子,,仲代达矢,,中山千夏,"['剧情', '动画', '奇幻']",87分钟,1973,日本, 日语,8.7
龙子太郎 龍の子太郎,,浦山桐郎,,浦山桐郎,,北村和夫,,吉永小百合,,Junya Kato,"['动画', '奇幻', '冒险']",75 分钟,1979,日本, 日语,8.7
怪医黑杰克 ブラック・ジャック,,出崎统,,出崎统,,大塚明夫,,水谷优子,,星野充昭,"['剧情', '动画', '惊悚']",93分钟,1996,日本 / 德国, 日语 / 德语,8.7
丁丁历险记之太阳神的囚徒 Tintin et le temple du soleil,,Raymond Leblanc,,Michel Regnier,,Philippe Ogouz,,Claude Bertrand,,Jacques Balutin,"['动画', '悬疑', '冒险']",77 分钟,1969,法国 / 比利时 / 瑞士, 法语,8.7
神奇独角马 ユニコ,,平田敏夫,,手冢治虫,,三轮胜惠,,杉山佳寿子,,堀绚子,"['动画', '奇幻', '冒险']",90 分钟,1981,日本, 日语 / 英语,8.7
我的妹妹小桃子 もも子、かえるの歌がきこえるよ。,,四分一节子 Setsuko Shibuichi,,小出一巳,,間宮くるみ,,内山昂辉,,大石治人,"['动画', '儿童']",78分钟,2003,日本, 日语,8.7
西游记之大圣归来,,田晓鹏,,田晓鹏,,张磊,,林子杰,,吴文伦,"['喜剧', '动作', '动画', '奇幻']",89分钟,2015,中国大陆, 汉语普通话 / 粤语,8.3
冰雪奇缘 Frozen,,克里斯·巴克,,珍妮弗·李,,克里斯汀·贝尔,,伊迪娜·门泽尔,,乔纳森·格罗夫,"['喜剧', '动画', '歌舞', '奇幻']",102分钟,2013,美国, 英语 / 冰岛语,8.3
秒速5厘米 秒速5センチメートル,,新海诚,,新海诚,,水桥研二,,近藤好美 ,,花村怜美,"['剧情', '爱情', '动画']",63分钟,2007,日本, 日语,8.3
海底总动员 Finding Nemo,,安德鲁·斯坦顿,,安德鲁·斯坦顿,,艾伯特·布鲁克斯,,艾伦·德杰尼勒斯,,亚历山大·古尔德,"['喜剧', '动画', '家庭', '冒险']",100 分钟,2003,美国 / 澳大利亚, 英语,8.3
里约大冒险 Rio,,卡洛斯·沙尔丹哈,,唐·莱默,,杰西·艾森伯格,,安妮·海瑟薇,,乔治·洛佩兹,"['喜剧', '动画', '冒险']",96分钟,2011,美国, 英语 / 葡萄牙语,8.3
美食总动员 Ratatouille,,布拉德·伯德,,布拉德·伯德,,帕顿·奥斯瓦尔特,,彼得·奥图尔,,布拉德·加内特,"['喜剧', '动画', '奇幻']",111 分钟,2007,美国, 英语 / 法语,8.3
小美人鱼 The Little Mermaid,,罗恩·克莱蒙兹,,约翰·马斯克,,雷内·奥博诺伊斯,,Christopher Daniel Barnes,,裘蒂·班森,"['爱情', '动画', '歌舞', '奇幻']",83 分钟,1989,美国, 英语 / 法语,8.3
大坏狐狸的故事 Le Grand Méchant Renard et autres contes...,,本杰明·雷内,,本杰明·雷内,,纪尧姆·达尔诺,,席琳·荣特,,达米安·维特卡,"['喜剧', '动画', '冒险']",83分钟,2017,法国 / 比利时, 法语,8.3
小飞侠 Peter Pan,,克莱德·杰洛尼米,,J·M·巴利,,鲍比·德里斯科尔,,凯瑟琳·博蒙特,,汉斯·康拉德,"['动画', '歌舞', '奇幻', '冒险']",77分钟,1953,美国, 英语 / 美国手语,8.3
"明月守护者 Mune, le gardien de la lune",,亚历山大·西伯恩,,杰罗姆·法斯腾,,奥玛·希,,伊兹雅·海格林,,迈克尔·格雷戈里奥,['动画'],86分钟,2014,法国, 法语 / 英语,8.3
三眼神童 悪魔島のプリンス 三つ目がとおる,,芹川有吾,,手冢治虫,,岸野一彦,,松井菜樱子,,石田彰,['动画'],85分钟,1985,日本, 英语,8.3
蝙蝠侠：红影迷踪 Batman: Under the Red Hood,,Brandon Vietti,,贾德·威尼克,,布鲁斯·格林伍德,,尼尔·帕特里克·哈里斯,,詹森·阿克斯,"['动作', '动画', '惊悚', '犯罪']",75分钟,2010,美国, 英语,8.3
爷爷的煤油灯 おぢいさんのランプ,,滝口禎一,,滝口禎一,,神谷浩史,,清水理沙,,伊藤 和晃,"['动画', '家庭', '儿童']",24分钟,2011,日本, 日语,8.3
飞出个未来大电影2：万背之兽 Futurama: The Beast with a Billion Backs,,Peter Avanzino,,Michael Rowe,,Frank Welker,,凯特蕾·萨加尔,,劳伦·汤姆,"['喜剧', '动作', '爱情', '科幻', '动画']",Argentina: 90 分钟,2008,美国, 英语,8.3
狐狸与猎狗 The Fox and the Hound,,阿特·史蒂文斯,,Burny Mattinson,,米基·鲁尼,,库尔特·拉塞尔,,珀尔·贝利,"['动画', '冒险']",83 分钟,1981,美国, 英语,8.3
猫儿历险记 The Aristocats,,沃夫冈·雷瑟曼,,Larry Clemmons,,菲尔·哈里斯 ,,伊娃·嘉宝,,斯特灵·哈洛威,"['喜剧', '动画', '音乐', '冒险']",78分钟,1970,美国, 英语,8.3
少年泰坦出击电影版 Teen Titans Go! To the Movies,,亚伦·霍瓦斯,,亚伦·霍瓦斯,,尼古拉斯·凯奇,,克里斯汀·贝尔,,威尔·阿奈特,"['喜剧', '动作', '动画']",84分钟,2018,美国, 英语,8.1
秦时明月特别篇之帝子降兮,,沈乐平,,沈乐平,,刘北辰,,陈奕雯,,杨垚,"['剧情', '动画', '冒险', '武侠']",18分钟,2015,中国大陆, 汉语普通话,8.1
蓝调之歌 Sita Sings the Blues,,妮娜·佩利,,妮娜·佩利,,Annette Hanshaw,,Pooja Kumar,,Debargo Sanyal,"['喜剧', '动画', '奇幻']",82分钟,2008,美国, 英语,8.1
"是的，弗吉尼亚 Yes, Virginia",,Pete Circuitt,,Wayne Best,,Jennifer Love Hewitt,,Neil Patrick Harris,,Alfred Molina,['动画'],22分钟,2009,美国, 英语,8.1
罗宾汉 Robin Hood,,沃夫冈·雷瑟曼,,Ken Anderson,,Brian Bedford,,彼得·乌斯蒂诺夫,,菲尔·哈里斯,"['爱情', '动画', '家庭', '冒险']",83分钟,1973,美国, 英语,8.1
星际宝贝：终极任务 Leroy & Stitch,,托尼·克莱格,,罗伯茨·甘纳韦,,黛维·切斯,,克里斯·桑德斯,,戴维·奥格登·施蒂尔斯,"['喜剧', '科幻', '动画', '家庭', '冒险']",73分钟,2006,美国, 英语,8.1
小熊维尼之长鼻怪大冒险 Pooh's Heffalump Movie,,Frank Nissen,,Jim Cummings (Voice),,Jim Cummings (Voice),,Nikita Hopkins (voice),,Kyle Stanger (voice),"['动画', '悬疑', '家庭', '奇幻']",USA: 68 分钟,2005,美国, 英语,8.1
姆明：漫游蓝湾 Muumit Rivieralla,,泽维尔·皮卡,,莱斯利·史德华,,伊丽娜·别尔克伦德,,玛丽亚·希德,,Ragni Grönblom,"['喜剧', '动画', '家庭']",80分钟,2014,芬兰 Finland / 法国, 芬兰语 Finnish,8.1
劳拉的星星 Lauras Stern,,Piet De Rycker,,Alexander Lindner,,Céline Vogt,,Sandro Iannotta,,Maximilian Artajo,"['喜剧', '动画', '家庭', '儿童', '奇幻']",77分钟,2004,保加利亚 / 德国 / 中国大陆, 英语,8.1
牧羊犬郁金香 My Dog Tulip,,保罗·菲尔林格,,J.R. Ackerley (novel),,克里斯托弗·普卢默,,琳恩·雷德格瑞夫,,伊莎贝拉·罗西里尼 Isabella Rossellini,"['剧情', '喜剧', '动画']",83分钟,2009,美国, 英语,8.1
功夫熊猫 Kung Fu Panda,,马克·奥斯本,,乔纳森·阿贝尔,,杰克·布莱克,,达斯汀·霍夫曼,,安吉丽娜·朱莉,"['喜剧', '动作', '动画', '冒险']",95分钟,2008,美国, 英语,8.0
辰巳 TATSUMI マンガに革命を起こした男,,邱金海,,辰巳嘉裕 ,,別所哲也,,Motoko Gollent,,辰巳嘉裕 ,"['剧情', '动画', '传记']",96分钟,2011,新加坡, 日语,7.9
妙先生之雁落大道,,不思凡,,不思凡,,小连杀,,大象,,V7,"['动画', '悬疑', '奇幻', '冒险']",8分钟,2014,中国大陆, 汉语普通话,7.9
大护法,,不思凡,,不思凡,,小连杀,,图特哈蒙,,金士杰,"['喜剧', '动画', '奇幻', '冒险']",95分钟,2017,中国大陆, 汉语普通话,7.8
马达加斯加 Madagascar,,埃里克·达尼尔,,马克·伯顿,,本·斯蒂勒,,克里斯·洛克,,大卫·休默,"['喜剧', '动画', '家庭', '冒险']",86 分钟,2005,美国, 英语 / 葡萄牙语 / 西班牙语 / 德语 / 法语,7.8
赛车总动员 Cars,,约翰·拉塞特,,约翰·拉塞特,,欧文·威尔逊,,保罗·纽曼,,邦尼·亨特,"['喜剧', '动画', '冒险']",117分钟,2006,美国, 英语 / 意大利语 / 日语 / 依地语,7.8
超级大坏蛋 Megamind,,汤姆·麦格拉思,,艾伦·J·斯库尔克拉夫特,,威尔·法瑞尔,,乔纳·希尔,,布拉德·皮特,"['喜剧', '动作', '动画']",95分钟,2010,美国, 英语,7.8
虫虫危机 A Bug's Life,,约翰·拉塞特,,安德鲁·斯坦顿,,大卫·弗利,,凯文·史派西,,茱莉亚·路易斯-德瑞弗斯,"['喜剧', '动画', '冒险']",95 分钟,1998,美国, 英语,7.8
云的彼端，约定的地方 雲のむこう、約束の場所,,新海诚,,新海诚,,吉冈秀隆,,萩原圣人,,南里侑香,"['剧情', '科幻', '动画']",91分钟,2004,日本, 日语,7.8
霍顿与无名氏 Horton Hears a Who!,,吉米·海沃德,,肯·道里欧,,金·凯瑞,,史蒂夫·卡瑞尔,,卡罗尔·博内特,"['喜剧', '动画', '冒险']",86 分钟,2008,美国, 英语,7.8
猫在巴黎 Une vie de chat,,让-卢普·费利乔利,,阿兰·嘎诺尔,,多米尼克·布隆,,贝纳德特·拉封,,布鲁诺·萨拉曼,"['动画', '家庭', '犯罪']",62分钟,2010,法国 / 荷兰 / 瑞士 / 比利时, 法语,7.8
藏獒多吉,,小岛正幸,,杨志军,,刘婧荦,,阿兰,,茫来,"['剧情', '动画', '悬疑', '冒险']",95分钟,2011,中国大陆 / 日本, 日语,7.8
刺痛我,,刘健,,刘健,,何烈波,,杨思明,,张瑜,"['动画', '犯罪']",74分钟,2010,中国大陆, 汉语普通话,7.8
阿薇尔与虚构世界 Avril et le monde truqué,,克里斯汀·丹米尔斯,,弗兰克·叶根吉,,玛丽昂·歌迪亚,,菲烈·卡特林,,让·雷谢夫,"['科幻', '动画', '冒险']",105分钟,2015,法国 / 比利时 / 加拿大, 法语,7.8
星银岛 Treasure Planet,,罗恩·克莱蒙兹,,罗恩·克莱蒙兹,,约瑟夫·高登-莱维特,,大卫·海德·皮尔斯,,布莱恩·莫瑞,"['爱情', '科幻', '动画', '家庭', '冒险']",95 分钟,2002,美国, 英语,7.8
乐高蝙蝠侠大电影：DC英雄集结 LEGO Batman: The Movie - DC Superheroes Unite,,Jon Burton,,Jon Burton,,罗伯·鲍森,,劳拉·贝莉,,布莱恩·布鲁姆,"['动画', '冒险']",71分钟,2013,美国 / 英国, 英语,7.8
小叮当 Tinker Bell,,布拉德利·雷蒙德,,杰弗里·M·霍华德,,梅·惠特曼,,克里斯汀·肯诺恩斯,,雷文-西蒙尼,"['喜剧', '动画', '奇幻', '冒险']",78分钟,2008,美国, 英语,7.8
